2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460dd6d4c46c286182346
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460dd6d4c46c286182347
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460dd6d4c46c286182348
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:29 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460dd6d4c46c286182349
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460de6d4c46c28618234a
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460de6d4c46c28618234b
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460de6d4c46c28618234c
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460de6d4c46c28618234d
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460de6d4c46c28618234e
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:30 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460de6d4c46c28618234f
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460df6d4c46c286182350
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460df6d4c46c286182351
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460df6d4c46c286182352
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460df6d4c46c286182353
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460df6d4c46c286182354
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:31 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460df6d4c46c286182355
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460e06d4c46c286182356
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460e06d4c46c286182357
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e06d4c46c286182358
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e06d4c46c286182359
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e06d4c46c28618235a
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460e06d4c46c28618235b
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460e06d4c46c28618235c
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:32 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460e06d4c46c28618235d
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e16d4c46c28618235e
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e16d4c46c28618235f
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e16d4c46c286182360
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:33 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460e16d4c46c286182361
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460e26d4c46c286182362
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460e26d4c46c286182363
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e26d4c46c286182364
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e26d4c46c286182365
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e26d4c46c286182366
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460e26d4c46c286182367
2026-02-05 17:20:34 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460e26d4c46c286182368
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460e36d4c46c286182369
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e36d4c46c28618236a
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e36d4c46c28618236b
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e36d4c46c28618236c
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:35 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460e36d4c46c28618236d
