2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=3937&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7806T'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000013
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=264&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7808D'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000014
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=273&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7808DD'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000015
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=5422&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7808F'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000016
2026-03-17 16:10:59 | INFO     | firstsilicon-product-run:<module>:27 | {'type': 'PPN', 'datasheets': [{'raw_path': 'https://www.firstsilicon.co.kr/pro10/business/download?cate_id=0101&pd_id=255&pf_id=0'}], 'product': {'brand': 'firstsilicon', 'country': '韩国', 'ds': '官网', 'status': '量产', 'category': 'IC-BIP^Genreal Purpuse Regulator', 'product_number': 'FR7808P'}}解析完成
2026-03-17 16:10:59 | INFO     | common.mq.mq_producer:send_message:120 | Message PROD-DARWIN-DISPATCH-RECORD sent successfully. Message ID: 01F068E34815F5267809CAA69300000017
